AgentId;TimeStep;OfferedEnergyInMWH;AwardedEnergyInMWH;RequestedEnergyInMWH
100;2021-01-01 00:00:00;0;12431.0;12431.0
100;2021-01-01 01:00:00;0;11416.0;11416.0
100;2021-01-01 02:00:00;0;11163.0;11163.0
100;2021-01-01 03:00:00;0;11036.0;11036.0
100;2021-01-01 04:00:00;0;11192.0;11192.0
100;2021-01-01 05:00:00;0;12177.0;12177.0
100;2021-01-01 06:00:00;0;12685.0;12685.0
100;2021-01-01 07:00:00;0;15222.0;15222.0
100;2021-01-01 08:00:00;0;16491.0;16491.0
100;2021-01-01 09:00:00;0;17125.0;17125.0
100;2021-01-01 10:00:00;0;17378.0;17378.0
100;2021-01-01 11:00:00;0;16997.0;16997.0
100;2021-01-01 12:00:00;0;16237.0;16237.0
100;2021-01-01 13:00:00;0;15476.0;15476.0
100;2021-01-01 14:00:00;0;15222.0;15222.0
100;2021-01-01 15:00:00;0;14968.0;14968.0
100;2021-01-01 16:00:00;0;15095.0;15095.0
100;2021-01-01 17:00:00;0;15729.0;15729.0
100;2021-01-01 18:00:00;0;16491.0;16491.0
100;2021-01-01 19:00:00;0;17505.0;17505.0
100;2021-01-01 20:00:00;0;18012.0;18012.0
100;2021-01-01 21:00:00;0;17251.0;17251.0
100;2021-01-01 22:00:00;0;16744.0;16744.0
100;2021-01-01 23:00:00;0;14968.0;14968.0
