AgentId;TimeStep;ReceivedSupportInEUR;RefundedSupportInEUR;ReceivedMarketRevenues;TrueGenerationPotentialInMWH;OfferedEnergyInMWH;AwardedEnergyInMWH;RequestedEnergyInMWH
12;2021-01-01 00:00:00;0;0;0;5500.0;5500.0;5500.0;0
12;2021-01-01 01:00:00;0;0;0;6050.0;6050.0;6050.0;0
12;2021-01-01 02:00:00;0;0;0;6600.0;6600.0;6600.0;0
12;2021-01-01 03:00:00;0;0;0;7700.000000000001;7700.000000000001;7700.000000000001;0
12;2021-01-01 04:00:00;0;0;0;8250.0;8250.0;8250.0;0
12;2021-01-01 05:00:00;0;0;0;9350.0;9350.0;9350.0;0
12;2021-01-01 06:00:00;0;0;0;9900.0;9900.0;9900.0;0
12;2021-01-01 07:00:00;0;0;0;11000.0;11000.0;11000.0;0
12;2021-01-01 08:00:00;0;0;0;12155.0;12155.0;12155.0;0
12;2021-01-01 09:00:00;0;0;0;13640.0;13640.0;13640.0;0
12;2021-01-01 10:00:00;0;0;0;14740.0;14740.0;14740.0;0
12;2021-01-01 11:00:00;0;0;0;14465.0;14465.0;14465.0;0
12;2021-01-01 12:00:00;0;0;0;13035.0;13035.0;13035.0;0
12;2021-01-01 13:00:00;0;0;0;12540.0;12540.0;12540.0;0
12;2021-01-01 14:00:00;0;0;0;11165.0;11165.0;11165.0;0
12;2021-01-01 15:00:00;0;0;0;9790.0;9790.0;9790.0;0
12;2021-01-01 16:00:00;0;0;0;8855.0;8855.0;8855.0;0
12;2021-01-01 17:00:00;0;0;0;9350.0;9350.0;9350.0;0
12;2021-01-01 18:00:00;0;0;0;10450.0;10450.0;10450.0;0
12;2021-01-01 19:00:00;0;0;0;12100.0;12100.0;12100.0;0
12;2021-01-01 20:00:00;0;0;0;13750.0;13750.0;13750.0;0
12;2021-01-01 21:00:00;0;0;0;16500.0;16500.0;16500.0;0
12;2021-01-01 22:00:00;0;0;0;19250.0;19250.0;16744.0;0
12;2021-01-01 23:00:00;0;0;0;19800.0;19800.0;14968.0;0
